,StudentId,CourseName,UniversityName,RegisteredDate,State,City,SubjectName,FollowDate,StudentClient,SignupSource,PlanType,PaymentDate
0,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,Administração,ESTÁCIO EAD,"(2012, 10, 30, 17, 2, 8)",Minas Gerais,Belo Horizonte,Administração de Recursos Humanos,"(2017, 11, 12, 11, 33, 42)",,Email,Mensal,"(2017, 11, 14, 19, 52, 36)"
1,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,Administração,ESTÁCIO EAD,"(2012, 10, 30, 17, 2, 8)",Minas Gerais,Belo Horizonte,Gestão da Cadeia de Suprimentos,"(2017, 11, 12, 11, 33, 42)",,Email,Mensal,"(2017, 11, 14, 19, 52, 36)"
2,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,Administração,ESTÁCIO EAD,"(2012, 10, 30, 17, 2, 8)",Minas Gerais,Belo Horizonte,Gestão Financeira de Pequenas e Médias Empresas,"(2017, 11, 12, 11, 33, 42)",,Email,Mensal,"(2017, 11, 14, 19, 52, 36)"
3,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,Administração,ESTÁCIO EAD,"(2012, 10, 30, 17, 2, 8)",Minas Gerais,Belo Horizonte,Constituição e Legalização de Pequenas e Médias Empresas,"(2017, 11, 12, 11, 33, 42)",,Email,Mensal,"(2017, 11, 14, 19, 52, 36)"
4,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,Administração,ESTÁCIO EAD,"(2012, 10, 30, 17, 2, 8)",Minas Gerais,Belo Horizonte,Administração de Novos Negócios Av1 A Av5,"(2017, 11, 12, 11, 33, 42)",,Email,Mensal,"(2017, 11, 14, 19, 52, 36)"
5,b2bace77d15c3dfaf57bf9916f0e9924d12f89bdc0624cdea099da5182c5df65,Engenharia Elétrica,CEFET/MG,"(2012, 12, 3, 19, 54, 48)",Minas Gerais,Coronel Fabriciano,Instalações Elétricas e Industriais,"(2016, 10, 9, 3, 38, 37)",,Facebook,Mensal,"(2017, 11, 8, 11, 52, 9)"
6,b2bace77d15c3dfaf57bf9916f0e9924d12f89bdc0624cdea099da5182c5df65,Engenharia Elétrica,CEFET/MG,"(2012, 12, 3, 19, 54, 48)",Minas Gerais,Coronel Fabriciano,Instalações Elétricas,"(2016, 10, 9, 3, 38, 37)",,Facebook,Mensal,"(2017, 11, 8, 11, 52, 9)"
7,b2bace77d15c3dfaf57bf9916f0e9924d12f89bdc0624cdea099da5182c5df65,Engenharia Elétrica,CEFET/MG,"(2012, 12, 3, 19, 54, 48)",Minas Gerais,Coronel Fabriciano,Circuitos Elétricos II,"(2016, 10, 9, 3, 38, 36)",,Facebook,Mensal,"(2017, 11, 8, 11, 52, 9)"
8,b2bace77d15c3dfaf57bf9916f0e9924d12f89bdc0624cdea099da5182c5df65,Engenharia Elétrica,CEFET/MG,"(2012, 12, 3, 19, 54, 48)",Minas Gerais,Coronel Fabriciano,Máquinas Elétricas,"(2016, 10, 9, 3, 38, 36)",,Facebook,Mensal,"(2017, 11, 8, 11, 52, 9)"
9,b2bace77d15c3dfaf57bf9916f0e9924d12f89bdc0624cdea099da5182c5df65,Engenharia Elétrica,CEFET/MG,"(2012, 12, 3, 19, 54, 48)",Minas Gerais,Coronel Fabriciano,Conversão Eletromecânica de Energia 1,"(2016, 10, 9, 3, 38, 37)",,Facebook,Mensal,"(2017, 11, 8, 11, 52, 9)"
10,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,Direito,ESTÁCIO,"(2013, 4, 3, 12, 37, 45)",Espírito Santo,Serra,Ciência Política,"(2017, 11, 2, 18, 52, 26)",,Email,Mensal,"(2017, 11, 5, 21, 27, 47)"
11,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,Direito,ESTÁCIO,"(2013, 4, 3, 12, 37, 45)",Espírito Santo,Serra,Direito do Trabalho I,"(2016, 5, 17, 20, 26, 9)",,Email,Mensal,"(2017, 11, 5, 21, 27, 47)"
12,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,Direito,ESTÁCIO,"(2013, 4, 3, 12, 37, 45)",Espírito Santo,Serra,Direito Administrativo I,"(2016, 5, 17, 20, 26, 9)",,Email,Mensal,"(2017, 11, 5, 21, 27, 47)"
13,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,Direito,ESTÁCIO,"(2013, 4, 3, 12, 37, 45)",Espírito Santo,Serra,Direito Constitucional,"(2016, 5, 17, 20, 26, 9)",,Email,Mensal,"(2017, 11, 5, 21, 27, 47)"
14,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,Direito,ESTÁCIO,"(2013, 4, 3, 12, 37, 45)",Espírito Santo,Serra,Direito Processual Civil I,"(2016, 5, 17, 20, 26, 9)",,Email,Mensal,"(2017, 11, 5, 21, 27, 47)"
15,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,Direito,ESTÁCIO,"(2013, 4, 3, 12, 37, 45)",Espírito Santo,Serra,Direito Constitucional I,"(2016, 5, 17, 20, 26, 9)",,Email,Mensal,"(2017, 11, 5, 21, 27, 47)"
16,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,Direito,ESTÁCIO,"(2013, 4, 3, 12, 37, 45)",Espírito Santo,Serra,Prática Simulada I (cível),"(2017, 11, 5, 20, 30, 2)",,Email,Mensal,"(2017, 11, 5, 21, 27, 47)"
