,StudentId,UniversityName,CourseName,PlanType,PaymentDate,State,City,RegisteredDate,SignupSource,StudentClient
0,29037b0a52c5b576d32ac5842fd5b7e5991c5bef93150ffc6556edfd0da3999d,ESTÁCIO EAD,Administração,Mensal,"(2017, 11, 14, 19, 52, 36)",Minas Gerais,Belo Horizonte,"(2012, 10, 30, 17, 2, 8)",Email,
1,b2bace77d15c3dfaf57bf9916f0e9924d12f89bdc0624cdea099da5182c5df65,CEFET/MG,Engenharia Elétrica,Mensal,"(2017, 11, 8, 11, 52, 9)",Minas Gerais,Coronel Fabriciano,"(2012, 12, 3, 19, 54, 48)",Facebook,
2,f423d6fe2f8964db634c7806e03b0f6567e992e994f06f203ff18704cf0ea6c9,ESTÁCIO,Direito,Mensal,"(2017, 11, 5, 21, 27, 47)",Espírito Santo,Serra,"(2013, 4, 3, 12, 37, 45)",Email,
3,55ccbe518d2edbbd527eddca1431c7f7f3a4676bdbee382ea2eb968f993512a0,ESTÁCIO,Direito,Mensal,"(2017, 11, 15, 14, 36, 42)",Rio de Janeiro,Rio de Janeiro,"(2013, 4, 3, 16, 0, 6)",Email,
4,b1b0f63fe3e4820cb082531af7c8911cd380e5ec8fe82256115a6e01d644d0be,ESTÁCIO,Direito,Mensal,"(2017, 11, 12, 22, 19, 54)",Rio de Janeiro,Saquarema,"(2013, 4, 3, 16, 9, 36)",Facebook,
5,ed46832f6b716fb2e2f6f11b43965f2e0a3f2f8f8994ce86ad3a5c4ff29915fc,UNIVILLE,Direito,Mensal,"(2017, 11, 22, 1, 3, 9)",Paraná,Curitiba,"(2013, 7, 11, 18, 6, 7)",Facebook,
6,69b7bee32821cf76b9ffd5deffca1a01c95499cea24a457dee9222c9dbb82ced,UDESC,Engenharia Mecânica,Mensal,"(2017, 11, 24, 19, 3, 49)",Santa Catarina,Joinville,"(2013, 7, 11, 18, 12, 16)",Facebook,
7,6553923125fe6364e16aacf5656426809bb134b005f1823bc18c8e7ddcabdf2d,ESTÁCIO,Engenharia Mecânica,Mensal,"(2017, 11, 11, 21, 1, 59)",Rio de Janeiro,Rio de Janeiro,"(2013, 7, 17, 20, 7, 49)",Facebook,
8,3903a334d1af8ce838bc2b7f497f11c40437573c1ad30b893283e86f8b89333c,ESTÁCIO,Segurança da Informação,Mensal,"(2017, 11, 12, 16, 41, 19)",Ceará,Fortaleza,"(2013, 7, 24, 9, 29, 20)",Email,
9,4487f81a4ea9b3c3cf58aa31ecc21c30d6fb186993af6154d0d4416f1783dc9b,UNIP,Gestão de Comércio / Gestão Comercial,Mensal,"(2017, 11, 21, 11, 52, 55)",Goiás,Goiânia,"(2013, 9, 17, 12, 47, 40)",Facebook,
